id,name,symbol,data_added,last_updated,price,volume_24h,circulating_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d
1,Bitcoin,BTC,2013-04-28T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.1804858784530072e+04,+1.5898835612557051e+10,+1.9288206000000000e+07,+1.9288206000000000e+07,+2.1000000000000000e+07,-1.1118453000000000e-01,+6.9428917999999995e-01,-6.6068761599999997e+00
2,Ethereum,ETH,2015-08-07T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.5325549029987280e+03,+4.8613685302406816e+09,+1.2237386621780001e+08,+1.2237386621780001e+08,,-1.2696457999999999e-01,+1.2039727800000000e+00,-8.1503998200000005e+00
3,Tether,USDT,2015-02-25T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.0002005109435326e+00,+2.2091238735824047e+10,+6.8386642034943855e+10,+7.3141766321234283e+10,,+4.0481700000000002e-03,+7.1905800000000002e-03,+3.7402999999999998e-03
4,BNB,BNB,2017-07-25T00:00:00.000Z,2023-02-12T02:18:00.000Z,+3.0900081488558163e+02,+3.3470197006049049e+08,+1.5789911477871990e+08,+1.5997996359042934e+08,+2.0000000000000000e+08,-1.3585855999999999e-01,+8.8768616000000000e-01,-7.4864156700000004e+00
5,USD Coin,USDC,2018-10-08T00:00:00.000Z,2023-02-12T02:18:00.000Z,+9.9995142048403329e-01,+2.3206780003223786e+09,+4.1301226673960815e+10,+4.1301226673960815e+10,,+1.2834999999999999e-03,-3.0884699999999998e-03,+2.6229199999999999e-03
6,XRP,XRP,2013-08-04T00:00:00.000Z,2023-02-12T02:18:00.000Z,+3.8226908934432030e-01,+4.1166936740466052e+08,+5.0799084881000000e+10,+9.9989130718000000e+10,+1.0000000000000000e+11,-2.3539825000000000e-01,+7.9044959999999997e-02,-6.8025022799999997e+00
7,Binance USD,BUSD,2019-09-20T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.0000840323323927e+00,+6.3455228084204550e+09,+1.6148914845973375e+10,+1.6148914845973375e+10,,+5.7025000000000001e-04,-4.8408300000000000e-03,-1.2782129999999999e-02
8,Cardano,ADA,2017-10-01T00:00:00.000Z,2023-02-12T02:18:00.000Z,+3.6718077892828799e-01,+2.1525042223059213e+08,+3.4622985924450996e+10,+3.5467426506415001e+10,+4.5000000000000000e+10,-1.8163230000000000e-01,+2.3618576400000002e+00,-7.7468226500000004e+00
9,Dogecoin,DOGE,2013-12-15T00:00:00.000Z,2023-02-12T02:18:00.000Z,+8.1909826684357423e-02,+2.2792038424880624e+08,+1.3267076429989409e+11,+1.3267076429989409e+11,,-1.6986649000000001e-01,+2.7457577000000000e-01,-1.3849135499999999e+01
10,Polygon,MATIC,2019-04-28T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.2411495419406799e+00,+4.0039665260732847e+08,+8.7343174752849293e+09,+1.0000000000000000e+10,+1.0000000000000000e+10,-2.5016247000000003e-01,+1.3654282700000000e+00,-1.1609808900000000e+00
